S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
1,Bishnu Pada Ray,Bharatiya Janata Party,102182.0,254.0,102436.0,50.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
2,Kuldeep Rai Sharma,Indian National Congress,77829.0,211.0,78040.0,38.54,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
3,Manoj Paul,Andaman Nicobar Democratic Congress,8236.0,18.0,8254.0,4.08,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
4,D Ayyappan,Communist Party Of India (Marxist),6009.0,8.0,6017.0,2.97,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
5,V.K. Abdul Aziz,Independent,2195.0,8.0,2203.0,1.09,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
6,K J B Selvaraj,All India Anna Dravida Munnetra Kazhagam,911.0,3.0,914.0,0.45,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
7,Dr Arun Kumar Mallik,Bahujan Samaj Party,714.0,5.0,719.0,0.36,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
8,Rinku Mala Mondal,Independent,539.0,3.0,542.0,0.27,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
9,K Venkat Ram Babu,Independent,506.0,1.0,507.0,0.25,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
10,Usha Kumari,Independent,378.0,2.0,380.0,0.19,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
11,Salamat Mondal,Socialist Unity Centre Of India (Communist),349.0,2.0,351.0,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
12,Anand Ramnath Arlekar,Independent,342.0,,342.0,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
13,Nota,None Of The Above,1802.0,7.0,1809.0,0.89,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
1,G M Harish (Balayogi),Telugu Desam,786149.0,10832.0,796981.0,61.25,Andhra Pradesh,Amalapuram (Sc) - 7
2,Rapaka Varaprasada Rao,Yuvajana Sramika Rythu Congress Party,450362.0,4423.0,454785.0,34.95,Andhra Pradesh,Amalapuram (Sc) - 7
3,Goutham Janga,Indian National Congress,14523.0,559.0,15082.0,1.16,Andhra Pradesh,Amalapuram (Sc) - 7
4,Dorababu Yalla,Bahujan Samaj Party,5202.0,186.0,5388.0,0.41,Andhra Pradesh,Amalapuram (Sc) - 7
5,Katru Naga Babu,Telugu Nava Garjana Party,3736.0,5.0,3741.0,0.29,Andhra Pradesh,Amalapuram (Sc) - 7
6,Vaddi Lalith Kumar,Independent,2974.0,3.0,2977.0,0.23,Andhra Pradesh,Amalapuram (Sc) - 7
7,Makey Davy Prasad,Independent,2104.0,7.0,2111.0,0.16,Andhra Pradesh,Amalapuram (Sc) - 7
8,Gude Venkateswarulu,Independent,1741.0,4.0,1745.0,0.13,Andhra Pradesh,Amalapuram (Sc) - 7
9,Ramesh Jillella,Jatiya Jana Sena Party,866.0,6.0,872.0,0.07,Andhra Pradesh,Amalapuram (Sc) - 7
10,Yalangi Ramesh,Jaibhim Rao Bharat Party,738.0,2.0,740.0,0.06,Andhra Pradesh,Amalapuram (Sc) - 7
11,Matha Krishna,Pyramid Party Of India,718.0,1.0,719.0,0.06,Andhra Pradesh,Amalapuram (Sc) - 7
12,Giddi Jnana Prakasa Rao,Republican Party Of India,717.0,9.0,726.0,0.06,Andhra Pradesh,Amalapuram (Sc) - 7
13,Yadla Rajesh,Liberation Congress Party,628.0,7.0,635.0,0.05,Andhra Pradesh,Amalapuram (Sc) - 7
14,Kapa Kalyan,Republican Party Of India (A),579.0,2.0,581.0,0.04,Andhra Pradesh,Amalapuram (Sc) - 7
15,Pathuri Ramesh,Peoples Party Of India (Democratic),502.0,3.0,505.0,0.04,Andhra Pradesh,Amalapuram (Sc) - 7
16,Nota,None Of The Above,13418.0,100.0,13518.0,1.04,Andhra Pradesh,Amalapuram (Sc) - 7
1,C.M.Ramesh,Bharatiya Janata Party,750027.0,12042.0,762069.0,57.5,Andhra Pradesh,Anakapalle - 5
2,Budi Mutyala Naidu,Yuvajana Sramika Rythu Congress Party,459762.0,5777.0,465539.0,35.13,Andhra Pradesh,Anakapalle - 5
3,Vegi Venkatesh,Indian National Congress,24833.0,818.0,25651.0,1.94,Andhra Pradesh,Anakapalle - 5
4,Palaka Sreerama Murthy,Bahujan Samaj Party,19082.0,75.0,19157.0,1.45,Andhra Pradesh,Anakapalle - 5
5,Vankayala Ramachandra Rao,Independent,4001.0,1.0,4002.0,0.3,Andhra Pradesh,Anakapalle - 5
