Constituency,State,Candidate_First,Party_First,Candidate_Second,Party_Second,Margin
Adilabad - 1,Telangana,Godam Nagesh,Bharatiya Janata Party,Athram Suguna,Indian National Congress,90652.0
Agra - 18,Uttar Pradesh,Prof S P Singh Baghel,Bharatiya Janata Party,Suresh Chand Kardam,Samajwadi Party,271294.0
Ahmedabad East - 7,Gujarat,Hasmukhbhai Patel (H.S.Patel),Bharatiya Janata Party,Himmatsinh Prahladsinh Patel,Indian National Congress,461755.0
Ahmedabad West - 8,Gujarat,Dineshbhai Makwana (Advocate),Bharatiya Janata Party,Bharat Yogendra Makwana,Indian National Congress,286437.0
Ahmednagar - 37,Maharashtra,Nilesh Dnyandev Lanke,Nationalist Congress Party  Sharadchandra Pawar,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janata Party,28929.0
Ajmer - 13,Rajasthan,Bhagirath Choudhary,Bharatiya Janata Party,Ramchandra Choudhary,Indian National Congress,329991.0
Akbarpur - 44,Uttar Pradesh,Devendra Singh Alias Bhole Singh,Bharatiya Janata Party,Rajaram Pal,Samajwadi Party,44345.0
Akola - 6,Maharashtra,Anup Sanjay Dhotre,Bharatiya Janata Party,Abhay Kashinath Patil,Indian National Congress,40626.0
Alappuzha - 15,Kerala,K. C Venugopal,Indian National Congress,A. M Ariff,Communist Party Of India (Marxist),63513.0
Alathur - 9,Kerala,K.Radhakrishnan,Communist Party Of India (Marxist),Ramya Haridas,Indian National Congress,20111.0
Aligarh - 15,Uttar Pradesh,Satish Kumar Gautam,Bharatiya Janata Party,Bijendra Singh,Samajwadi Party,15647.0
Alipurduars - 2,West Bengal,Manoj Tigga,Bharatiya Janata Party,Prakash Chik Baraik,All India Trinamool Congress,75447.0
Allahabad - 52,Uttar Pradesh,Ujjwal Raman Singh,Indian National Congress,Neeraj Tripathi,Bharatiya Janata Party,58795.0
Almora - 3,Uttarakhand,Ajay Tamta,Bharatiya Janata Party,Pradeep Tamta,Indian National Congress,234097.0
Alwar - 8,Rajasthan,Bhupender Yadav,Bharatiya Janata Party,Lalit Yadav,Indian National Congress,48282.0
